J,I,K,rep,seed_service,seed_lateness,method,algorithm_class,timing_scope,validated_obj,runtime_sec,budget_sec,validation_status,protocol_pass,test_K,test_mean_direct,test_p95_direct,test_direct_exceed_rate,test_mean_indirect,test_p95_indirect,test_indirect_exceed_rate,cuts_added,total_scenario_screens,num_vars,num_constrs,num_genconstrs
12,12,100,5,12565,12566,K-BRKGA,independent heuristic comparator,fixed stable slots,12.89106740486747,2.485229969024658,120.0,PASS,not_applicable,1000,0.4614794013954104,1.7705750909578697,0.020666666666666667,0.0,0.0,0.0,nan,nan,nan,nan,nan
12,12,100,6,12665,12666,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,11.721545839925625,115.36140942573547,120.0,PASS,1,1000,0.3978105762722245,1.5783086954425705,0.015633333333333332,0.007357996806154936,0.0,0.0,0.0,0.0,29340.0,17526.0,86100.0
12,12,100,6,12665,12666,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,8.90840752979068,120.0690529346466,120.0,PASS,1,1000,0.32459975754650067,1.4520093147271418,0.011666666666666667,0.00022260541347254165,0.0,0.0,8238.0,800.0,25740.0,25647.0,6000.0
12,12,100,6,12665,12666,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,8.90840752979068,110.7096176147461,120.0,PASS,1,1000,0.32459975754650067,1.4520093147271418,0.011666666666666667,0.00022260541347254165,0.0,0.0,1926.0,650.0,25740.0,25647.0,6000.0
12,12,100,6,12665,12666,K-BRKGA,independent heuristic comparator,fixed stable slots,12.657296273879581,3.0016684532165527,120.0,PASS,not_applicable,1000,0.4535121807984685,1.723059560982898,0.0198,0.0,0.0,0.0,nan,nan,nan,nan,nan
12,12,100,7,12765,12766,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,11.302521049416441,115.32508873939514,120.0,PASS,1,1000,0.3979794319486503,1.583086242099695,0.016733333333333333,0.008407531425782032,0.0,0.0,0.0,0.0,29340.0,17526.0,86100.0
12,12,100,7,12765,12766,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,9.162171782050649,120.10562944412231,120.0,PASS,1,1000,0.3471586274860803,1.5130892298678547,0.014466666666666666,1.8647643596977225e-06,0.0,0.0,5200.0,1100.0,25740.0,25647.0,6000.0
12,12,100,7,12765,12766,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,9.162171782050649,110.05986166000366,120.0,PASS,1,1000,0.3471586274860803,1.5130892298678547,0.014466666666666666,1.8647643596977225e-06,0.0,0.0,2720.0,960.0,25740.0,25647.0,6000.0
12,12,100,7,12765,12766,K-BRKGA,independent heuristic comparator,fixed stable slots,12.432092532975503,2.578291177749634,120.0,PASS,not_applicable,1000,0.465600770753526,1.8027192521824955,0.0226,0.0,0.0,0.0,nan,nan,nan,nan,nan
12,12,100,8,12865,12866,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,12.12144858146172,115.10024380683899,120.0,PASS,1,1000,0.3949102226555251,1.5912557496381903,0.015066666666666667,0.024123070127051317,0.15800280370382921,0.0,0.0,0.0,29340.0,17526.0,86100.0
12,12,100,8,12865,12866,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,8.627017268134665,110.04034447669983,120.0,PASS,1,1000,0.32466217860420876,1.4486403821327787,0.0116,0.00021363608443133506,0.0,0.0,6600.0,1400.0,25740.0,25647.0,6000.0
12,12,100,8,12865,12866,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,8.627017268134665,120.09433102607727,120.0,PASS,1,1000,0.32466217860420876,1.4486403821327787,0.0116,0.00021363608443133506,0.0,0.0,4020.0,980.0,25740.0,25647.0,6000.0
12,12,100,8,12865,12866,K-BRKGA,independent heuristic comparator,fixed stable slots,12.33516025792369,2.84303617477417,120.0,PASS,not_applicable,1000,0.45379580172198575,1.7316972114774831,0.019766666666666665,0.0,0.0,0.0,nan,nan,nan,nan,nan
12,12,100,9,12965,12966,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,11.507844738390105,115.35401272773743,120.0,PASS,1,1000,0.41668682110324895,1.6712169792722862,0.018766666666666668,9.92850605220773e-05,0.0,0.0,0.0,0.0,29340.0,17526.0,86100.0
12,12,100,9,12965,12966,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,8.509759120631344,114.38596105575562,120.0,PASS,1,1000,0.3283518463460272,1.4644523728622953,0.011233333333333333,0.0,0.0,0.0,10000.0,1100.0,25740.0,25647.0,6000.0
12,12,100,9,12965,12966,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,8.509759120631344,120.13848114013672,120.0,PASS,1,1000,0.3283518463460272,1.4644523728622953,0.011233333333333333,0.0,0.0,0.0,2800.0,870.0,25740.0,25647.0,6000.0
12,12,100,9,12965,12966,K-BRKGA,independent heuristic comparator,fixed stable slots,12.057661486510483,2.457908868789673,120.0,PASS,not_applicable,1000,0.45839413020256614,1.7671388949084386,0.019966666666666667,0.0,0.0,0.0,nan,nan,nan,nan,nan
