protocol_version,J,K,rep,seed_service,seed_lateness,method,status,certified,validated_obj,alpha_sum,beta_sum,avg_direct_burden,avg_indirect_burden,avg_total_burden,validation_max_violation,runtime_sec,scenario_seed_mode
EJOR-SECTION52-PROTOCOL,4,50,8,2105,2105,SS-MILP,PASS,0,3.176752395690343,13.3166527352657,19.50659486904395,0.04722454412238297,0.48223418849267446,0.5294587326150575,0.0,0.038002729415893555,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,8,2105,2105,DE-MILP,PASS,1,0.2991587710250698,13.300841228974928,22.4,0.04985979517084527,0.0,0.04985979517084527,0.0,5.131561994552612,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,8,2105,2105,SS-BW,PASS,0,5.978165972496399,7.621834027503601,22.4,0.9963609954160665,0.0,0.9963609954160665,0.0,0.0010035037994384766,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,8,2105,2105,SS-MILP,PASS,0,3.2458820515934974,13.247607277957886,19.506510670448616,0.05873212034035199,0.48224822159189734,0.5409803419322493,0.0,0.12448501586914062,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,8,2105,2105,DE-MILP,PASS,1,0.3158324082977586,13.284167591702241,22.4,0.052638734716293434,0.0,0.052638734716293434,0.0,25.720643997192383,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,8,2105,2105,SS-BW,PASS,0,5.978135541140087,7.621864458859911,22.4,0.996355923523348,0.0,0.996355923523348,0.0,0.0010004043579101562,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,8,2105,2105,SS-MILP,PASS,0,3.2112567216288,13.284167591702241,19.50457568666896,0.052638734716293434,0.48257071888850644,0.5352094536047999,0.0,0.30309605598449707,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,9,2115,2115,DE-MILP,PASS,1,0.2771150341869202,13.32288496581308,22.4,0.04618583903115314,0.0,0.04618583903115314,0.0,0.06751322746276855,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,9,2115,2115,SS-BW,PASS,0,5.900385320492102,7.699614679507899,22.4,0.9833975534153501,0.0,0.9833975534153501,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,9,2115,2115,SS-MILP,PASS,0,1.1168075962715776,13.32288496581308,21.56030743791534,0.04618583903115314,0.13994876034744289,0.18613459937859603,0.0,0.0160219669342041,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,9,2115,2115,DE-MILP,PASS,1,0.2940127430475954,13.3059872569524,22.4,0.04900212384126649,0.0,0.04900212384126649,0.0,0.3495981693267822,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,9,2115,2115,SS-BW,PASS,0,5.894547628430384,7.705452371569615,22.4,0.9824246047383974,0.0,0.9824246047383974,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,9,2115,2115,SS-MILP,PASS,0,3.211573358701031,13.293027311718742,19.495399329580227,0.051162114713543115,0.4841001117366286,0.5352622264501717,0.0,0.03800201416015625,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,9,2115,2115,DE-MILP,PASS,1,0.2887717940737389,13.311228205926266,22.4,0.04812863234562248,0.0,0.04812863234562248,0.0,4.855531692504883,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,9,2115,2115,SS-BW,PASS,0,5.948240487044647,7.651759512955355,22.4,0.9913734145074408,0.0,0.9913734145074408,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,9,2115,2115,SS-MILP,PASS,0,3.1852209339049367,13.311228205926266,19.5035508601688,0.04812863234562248,0.48274152330519965,0.5308701556508222,0.0,0.12600040435791016,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,9,2115,2115,DE-MILP,PASS,1,0.29170615906761554,13.308293840932386,22.4,0.04861769317793566,0.0,0.04861769317793566,0.0,32.258208990097046,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,9,2115,2115,SS-BW,PASS,0,5.956321595274282,7.643678404725718,22.4,0.992720265879047,0.0,0.992720265879047,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,9,2115,2115,SS-MILP,PASS,0,1.1586789084879783,13.275525994441486,21.56579509707054,0.05407900092641912,0.13903415048824322,0.19311315141466234,0.0,0.36829090118408203,common_replication_seed
