protocol_version,J,K,rep,seed_service,seed_lateness,method,patient,attended_stages,direct_burden,indirect_burden,total_burden,scenario_seed_mode
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,SS-BW,3,2,4.024824932737506,0.0,4.024824932737506,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,SS-MILP,0,1,0.33995814953300707,0.0,0.33995814953300707,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,SS-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,SS-MILP,2,2,0.0,2.9111351877700162,2.9111351877700162,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,SS-MILP,3,2,0.04563384530303072,0.0,0.04563384530303072,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,DE-MILP,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,DE-MILP,1,1,0.23531564829396534,0.0,0.23531564829396534,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,DE-MILP,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,DE-MILP,3,2,0.03987825351205787,0.0,0.03987825351205787,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,SS-BW,1,1,2.0,0.0,2.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,SS-BW,3,2,3.9868146657614663,0.0,3.9868146657614663,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,SS-MILP,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,SS-MILP,1,1,0.23531564829396534,0.0,0.23531564829396534,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,SS-MILP,2,2,0.0,2.9240060710445968,2.9240060710445968,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,SS-MILP,3,2,0.03987825351205787,0.0,0.03987825351205787,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,DE-MILP,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,DE-MILP,1,1,0.2592466921486971,0.0,0.2592466921486971,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,DE-MILP,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,DE-MILP,3,2,0.049784014291113454,0.0,0.049784014291113454,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,SS-BW,1,1,2.0,0.0,2.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,SS-BW,3,2,4.053358369391773,0.0,4.053358369391773,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,SS-MILP,0,1,0.27248816606652837,0.0,0.27248816606652837,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,SS-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,SS-MILP,2,2,0.0,2.906999236732387,2.906999236732387,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,SS-MILP,3,2,0.049784014291113454,0.0,0.049784014291113454,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,DE-MILP,0,1,0.2638342095278843,0.0,0.2638342095278843,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,DE-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,DE-MILP,2,2,0.04987155741467397,0.0,0.04987155741467397,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,DE-MILP,3,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,SS-BW,1,1,2.0,0.0,2.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,SS-BW,3,2,4.029666219745559,0.0,4.029666219745559,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,SS-MILP,0,1,0.2638342095278843,0.0,0.2638342095278843,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,SS-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,SS-MILP,2,2,0.04987155741467397,0.8500281003897716,0.8998996578044456,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,SS-MILP,3,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,4,2065,2065,DE-MILP,0,1,0.1862430404857236,0.0,0.1862430404857236,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,4,2065,2065,DE-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,4,2065,2065,DE-MILP,2,2,0.048621594883623054,0.0,0.048621594883623054,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,4,2065,2065,DE-MILP,3,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,4,2065,2065,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,4,2065,2065,SS-BW,1,1,2.0,0.0,2.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,4,2065,2065,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,4,2065,2065,SS-BW,3,2,3.949414105528855,0.0,3.949414105528855,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,4,2065,2065,SS-MILP,0,1,0.1862430404857236,0.0,0.1862430404857236,common_replication_seed
